issue_year,dimension,segment,accounts,account_share_within_year,loan_amount,exposure_share_within_year,bad_accounts,bad_rate
2011,home_ownership_n,MORTGAGE,10157,0.4676119883983242,138833950.0,0.5305408158108359,1408,0.1386236093334646
2011,home_ownership_n,OTHER,1,4.603839602228258e-05,16000.0,6.114248750376528e-05,1,1.0
2011,home_ownership_n,OWN,1616,0.07439804797200865,17920625.0,0.06848197438263523,257,0.15903465346534654
2011,home_ownership_n,RENT,9947,0.45794392523364486,104913250.0,0.4009160673190252,1631,0.16396903589021816
2011,purpose,car,938,0.04318401546890106,6154375.0,0.02351836228318659,98,0.1044776119402985
2011,purpose,credit_card,2820,0.1298282767828369,34899475.0,0.1333650446297168,330,0.11702127659574468
2011,purpose,debt_consolidation,10670,0.49122968555775515,144057250.0,0.5505011629969869,1722,0.1613870665417057
2011,purpose,home_improvement,1680,0.07734450531743474,21031625.0,0.08037036679664859,198,0.11785714285714285
2011,purpose,house,216,0.009944293540813038,3154750.0,0.01205557890328147,30,0.1388888888888889
2011,purpose,major_purchase,1079,0.04967542930804291,9434625.0,0.03605352757282572,103,0.09545875810936053
2011,purpose,medical,382,0.017586667280511947,3456075.0,0.013207063906223475,62,0.16230366492146597
2011,purpose,moving,303,0.013949633994751623,2056850.0,0.007860057838882476,59,0.19471947194719472
2011,purpose,other,1871,0.08613783895769071,16278475.0,0.06220665339174097,332,0.17744521646178515
2011,purpose,renewable_energy,58,0.0026702269692923898,473425.0,0.0018091488841543797,10,0.1724137931034483
2011,purpose,small_business,975,0.04488743612172552,14390700.0,0.05499269968252719,268,0.27487179487179486
2011,purpose,vacation,227,0.010450715897058146,1309375.0,0.005003652785952667,28,0.12334801762114538
2011,purpose,wedding,502,0.023111274803185856,4986825.0,0.019056680327872767,57,0.11354581673306773
2012,home_ownership_n,MORTGAGE,24947,0.4674611651395057,375010650.0,0.52200013216668,3752,0.15039884555257146
2012,home_ownership_n,OTHER,88,0.0016489590945715517,1259500.0,0.001753174653743656,16,0.18181818181818182
2012,home_ownership_n,OWN,4203,0.07875653493732082,52026575.0,0.07241895403818448,714,0.16987865810135616
2012,home_ownership_n,RENT,24129,0.45213334082860196,290114300.0,0.4038277391413919,4162,0.1724895354138174
2012,purpose,car,901,0.016883092547829184,6704750.0,0.009332749312971638,96,0.10654827968923418
2012,purpose,credit_card,10365,0.19422114790038789,135468775.0,0.18856722723596844,1319,0.12725518572117703
2012,purpose,debt_consolidation,30811,0.5773418029868645,445182300.0,0.6196763196945648,5354,0.17376910843529908
2012,purpose,home_improvement,2893,0.054209530234039766,38160100.0,0.053117364116175694,370,0.12789491876944348
2012,purpose,house,418,0.00783255569921487,6983325.0,0.009720514798614067,83,0.19856459330143542
2012,purpose,major_purchase,1360,0.025483913279742164,12740850.0,0.017734764023143994,165,0.1213235294117647
2012,purpose,medical,630,0.011805048063409972,5541900.0,0.007714107672554162,105,0.16666666666666666
2012,purpose,moving,399,0.0074765304401596495,3093600.0,0.004306169995094382,65,0.16290726817042606
2012,purpose,other,3053,0.05720763767871531,30780175.0,0.04284479765604934,565,0.18506387160170323
2012,purpose,renewable_energy,71,0.0013304101785747747,766025.0,0.0010662767877205113,17,0.23943661971830985
2012,purpose,small_business,1386,0.02597110573950194,22568825.0,0.03141492017052495,353,0.2546897546897547
2012,purpose,vacation,344,0.00644593100605243,2122500.0,0.002954436842057094,61,0.17732558139534885
2012,purpose,wedding,736,0.013791294245507523,8297900.0,0.011550351694560923,91,0.12364130434782608
2013,home_ownership_n,MORTGAGE,72061,0.5345612889825228,1170653600.0,0.590459963694377,10179,0.1412553253493568
2013,home_ownership_n,OWN,11248,0.0834396605441975,153185050.0,0.07726422150969453,1772,0.15753911806543386
2013,home_ownership_n,RENT,51495,0.3819990504732797,658774350.0,0.3322758147959284,9073,0.17619186328769784
2013,purpose,car,1050,0.007789086377258835,9377075.0,0.004729654753600425,123,0.11714285714285715
2013,purpose,credit_card,32804,0.2433458947805703,482690525.0,0.2434617976377639,4329,0.13196561394951836
2013,purpose,debt_consolidation,80634,0.5981573247084656,1251553025.0,0.631264409645251,13195,0.1636406478656646
2013,purpose,home_improvement,7403,0.054916768048425865,104880575.0,0.052900175172865306,1050,0.14183439146292043
2013,purpose,house,675,0.005007269813952108,10947625.0,0.005521816410968757,92,0.1362962962962963
2013,purpose,major_purchase,2298,0.01704697189994362,24539450.0,0.012377327294837672,297,0.12924281984334204
2013,purpose,medical,889,0.00659475979941248,7522975.0,0.003794474766381538,159,0.17885264341957255
2013,purpose,moving,639,0.004740215423874663,4963775.0,0.002503653007420006,109,0.1705790297339593
2013,purpose,other,5842,0.043336992967567725,54453100.0,0.027465319757310175,1135,0.19428277986990758
2013,purpose,renewable_energy,51,0.00037832705260971484,539950.0,0.00027234261048424477,6,0.11764705882352941
2013,purpose,small_business,1359,0.010081303225423577,21505575.0,0.01084708664777241,350,0.257542310522443
2013,purpose,vacation,565,0.004191270288715469,3293525.0,0.001661204178526016,88,0.15575221238938053
2013,purpose,wedding,595,0.004413815613780007,6345825.0,0.003200738116818562,91,0.15294117647058825
2014,home_ownership_n,MORTGAGE,112615,0.5047691190576508,1833134175.0,0.5634384055214766,18523,0.16448075300803622
2014,home_ownership_n,OTHER,1,4.482254753431166e-06,5000.0,1.5368171441173329e-06,0,0.0
2014,home_ownership_n,OWN,21835,0.09787003254116951,301950625.0,0.09280857943538875,4090,0.1873139455003435
2014,home_ownership_n,RENT,88651,0.3973563661464263,1118387700.0,0.3437514782259905,18548,0.20922493824096738
2014,purpose,car,1768,0.007924626404066302,15875700.0,0.004879609586972708,245,0.13857466063348417
2014,purpose,credit_card,52552,0.23555145180231463,792689525.0,0.24364377039644503,8172,0.1555031207185264
2014,purpose,debt_consolidation,135059,0.6053688447436598,2043740375.0,0.6281710492849574,26385,0.19535906529738856
2014,purpose,home_improvement,12307,0.05516310925047736,175534425.0,0.05395286274455564,2078,0.16884699764361746
2014,purpose,house,724,0.003245152441484164,10186575.0,0.003130980619967404,166,0.2292817679558011
2014,purpose,major_purchase,3688,0.01653055553065414,43907475.0,0.013495552066980639,653,0.17706073752711496
2014,purpose,medical,2266,0.010156789271275023,20481725.0,0.006295333224219316,438,0.19329214474845544
2014,purpose,moving,1289,0.005777626377172773,9826375.0,0.0030202683129051913,312,0.24204809930178434
2014,purpose,other,9985,0.04475531371301019,98578350.0,0.030299379663759778,1894,0.18968452679018527
2014,purpose,renewable_energy,119,0.0005333883156583087,1221525.0,0.000375452112393585,24,0.20168067226890757
2014,purpose,small_business,2176,0.009753386343466217,34057475.0,0.010468022293069493,596,0.27389705882352944
2014,purpose,vacation,1161,0.005203897768733584,7278825.0,0.002237244609805969,198,0.17054263565891473
2014,purpose,wedding,8,3.585803802744933e-05,99150.0,3.0475083967846713e-05,0,0.0
2015,home_ownership_n,MORTGAGE,182128,0.4849724265929601,2950146600.0,0.5365324768930355,31935,0.17534371431081439
2015,home_ownership_n,OTHER,2,5.325621832919266e-06,58300.0,1.0602809840997044e-05,0,0.0
2015,home_ownership_n,OWN,41071,0.10936430714991359,587653600.0,0.10687443178691837,8442,0.20554649265905384
2015,home_ownership_n,RENT,152342,0.4056579406352934,1960683950.0,0.3565824885102051,35425,0.23253600451615444
2015,purpose,car,3203,0.008528983365420205,30555350.0,0.005556990834907531,511,0.1595379331876366
2015,purpose,credit_card,90091,0.2398952982747648,1380273525.0,0.2510253467262038,15150,0.16816330155065434
2015,purpose,debt_consolidation,222049,0.5912745011889451,3373021150.0,0.6134391396760063,48062,0.21644772099851833
2015,purpose,educational,1,2.662810916459633e-06,2200.0,4.0010603173573753e-07,0,0.0
2015,purpose,home_improvement,22707,0.06046444748004889,322197000.0,0.0585968014123452,4105,0.18078125688113797
2015,purpose,house,1331,0.0035442013298077717,18818275.0,0.0034224115156190164,334,0.25093914350112695
2015,purpose,major_purchase,6730,0.01792071746777333,83337225.0,0.015156239268462863,1304,0.1937592867756315
2015,purpose,medical,3684,0.009809795416237289,32230775.0,0.005861694311371552,772,0.20955483170466885
2015,purpose,moving,2313,0.006159081649771131,18503725.0,0.003365205446399709,527,0.22784262862083873
2015,purpose,other,17944,0.04778147908495166,176938050.0,0.03217908229479978,3711,0.20681007579135086
2015,purpose,renewable_energy,214,0.0005698415361223615,2033675.0,0.0003698571064046255,56,0.2616822429906542
2015,purpose,small_business,3081,0.00820412043361213,46882075.0,0.008526273176266922,873,0.28334956183057447
2015,purpose,vacation,2191,0.005834218717963057,13714125.0,0.002494138242035396,397,0.1811958010041077
2015,purpose,wedding,4,1.0651243665838532e-05,35300.0,6.419883145577971e-06,0,0.0
2016,home_ownership_n,MORTGAGE,142774,0.4871884991656913,2280940075.0,0.5379961191322638,28097,0.19679353383669296
2016,home_ownership_n,OTHER,63,0.0002149752437239172,752925.0,0.00017758937748404445,16,0.25396825396825395
2016,home_ownership_n,OWN,35629,0.12157703108951501,495771700.0,0.11693566766571231,8334,0.23391057846136573
2016,home_ownership_n,RENT,114591,0.39101949450106976,1462231450.0,0.3448906238245399,31782,0.27735162447312617
2016,purpose,car,3233,0.011031983539038481,29200800.0,0.006887474707356092,559,0.1729044231364058
2016,purpose,credit_card,60653,0.2069665628188373,897877950.0,0.21177884410419365,12411,0.2046230194714194
2016,purpose,debt_consolidation,169291,0.5776726029407249,2605364175.0,0.6145167207324516,41648,0.24601425947037941
2016,purpose,home_improvement,20936,0.07144002702545921,297038075.0,0.07006117053930858,4180,0.1996560947649981
2016,purpose,house,1445,0.004930781383826355,22246350.0,0.005247156685980904,383,0.26505190311418686
2016,purpose,major_purchase,7065,0.02410793804618214,84646625.0,0.01996525741591175,1508,0.21344656758669497
2016,purpose,medical,3650,0.012454914914163456,32931750.0,0.007767478808593394,926,0.2536986301369863
2016,purpose,moving,2263,0.007722047246781343,17748125.0,0.004186178530742115,586,0.25894829871851527
2016,purpose,other,18912,0.06453352078264638,186410625.0,0.04396792090867172,4402,0.23276226734348562
2016,purpose,renewable_energy,209,0.0007131718402904555,2035175.0,0.00048002850392946203,58,0.27751196172248804
2016,purpose,small_business,3215,0.010970562040831647,50351075.0,0.011876104611883567,1073,0.3337480559875583
2016,purpose,vacation,2184,0.007452475115762462,13830425.0,0.0032621264615861683,495,0.22664835164835165
2016,purpose,wedding,1,3.4123054559351933e-06,15000.0,3.5379893910557716e-06,0,0.0
2017,home_ownership_n,MORTGAGE,84690,0.5007775681924348,1337325075.0,0.5530540194782776,16274,0.1921596410438068
2017,home_ownership_n,OTHER,200,0.0011826132204331911,2939800.0,0.0012157614007665565,37,0.185
2017,home_ownership_n,OWN,20244,0.11970411017224762,274742550.0,0.1136204460977535,4777,0.23597115194625568
2017,home_ownership_n,RENT,63983,0.3783357084148844,803065725.0,0.3321097730232024,18024,0.28169982651641845
2017,purpose,car,2102,0.01242926494675284,19002325.0,0.007858457466433552,352,0.16745956232159848
2017,purpose,credit_card,32241,0.1906431641999326,458714875.0,0.18970264609240625,6636,0.2058248813622406
2017,purpose,debt_consolidation,94932,0.5613391912108185,1465109925.0,0.6058997532808302,22904,0.2412674335313698
2017,purpose,home_improvement,13734,0.08121004984714725,196057800.0,0.08108017741316055,2733,0.19899519440803845
2017,purpose,house,1281,0.00757463767687459,20374375.0,0.008425872062637972,292,0.22794691647150664
2017,purpose,major_purchase,4286,0.02534340131388329,54586450.0,0.022574358430802643,975,0.22748483434437705
2017,purpose,medical,2706,0.016000756872461077,24825025.0,0.010266449135337365,669,0.24722838137472283
2017,purpose,moving,1487,0.008792729293920777,12074425.0,0.004993407664280132,418,0.28110289172831204
2017,purpose,other,12717,0.07519646162124446,125680950.0,0.05197566086865486,3069,0.2413305024769993
2017,purpose,renewable_energy,128,0.0007568724610772424,1380625.0,0.0005709608081955668,35,0.2734375
2017,purpose,small_business,1798,0.010631692851694389,30059575.0,0.012431209949128297,674,0.37486095661846497
2017,purpose,vacation,1705,0.010081777704192956,10206800.0,0.0042210468281325565,355,0.20821114369501467
2018,home_ownership_n,MORTGAGE,28420,0.5060541310541311,456511950.0,0.5465840558121347,3376,0.11878958479943702
2018,home_ownership_n,OTHER,23,0.00040954415954415953,239175.0,0.000286365431504843,3,0.13043478260869565
2018,home_ownership_n,OWN,7504,0.1336182336182336,108478275.0,0.12988158473618072,1280,0.17057569296375266
2018,home_ownership_n,RENT,20213,0.35991809116809115,269979650.0,0.32324799402017973,4187,0.2071439172809578
2018,purpose,car,775,0.01379985754985755,7800150.0,0.009339158860886385,94,0.12129032258064516
2018,purpose,credit_card,11368,0.20242165242165241,164152475.0,0.19654058465961308,1406,0.12368050668543279
2018,purpose,debt_consolidation,28654,0.5102207977207978,460774200.0,0.5516872691932636,4626,0.1614434284916591
2018,purpose,home_improvement,4505,0.08021723646723647,68793975.0,0.08236737257576411,632,0.14028856825749167
2018,purpose,house,994,0.0176994301994302,17078325.0,0.0204479644946376,178,0.1790744466800805
2018,purpose,major_purchase,1805,0.03214031339031339,26690750.0,0.03195696933600037,349,0.19335180055401663
2018,purpose,medical,1028,0.018304843304843305,10626675.0,0.012723371472088334,212,0.20622568093385213
2018,purpose,moving,501,0.00892094017094017,4402050.0,0.00527059662488092,105,0.20958083832335328
2018,purpose,other,5389,0.0959579772079772,59983200.0,0.07181818731490039,967,0.17943959918352198
2018,purpose,renewable_energy,38,0.0006766381766381767,472200.0,0.0005653674370506402,6,0.15789473684210525
2018,purpose,small_business,568,0.010113960113960114,10830325.0,0.012967202642260641,180,0.31690140845070425
2018,purpose,vacation,533,0.00949074074074074,3594850.0,0.004304132001443231,90,0.16885553470919323
2018,purpose,wedding,2,3.561253561253561e-05,9875.0,1.1823387210663007e-05,1,0.5
